Till code	Description	Printed	Format code	Description format	No. of labels	Validity date
5000112666595	SPRITE ZERO SUGAR CAN 4 PACK| 330MLS	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5000112681734	DIET COKE CANS 4 PACK | 330MLS	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5099589220386	BEWLEYS GOLD BLEND TEA 80S| 250GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5000158066540	LEMSIP MAX COUGH & COLD | 5PCE	TRUE	106	ELECTRONIC LABEL	1	19/02/26
3367770011597	RASTEAU CELLIER DE MONTERAIL| 75CL	TRUE	106	ELECTRONIC LABEL	1	19/02/26
3245990043317	HENNESSY VERY SPECIAL GIFT BOX | 70CL	TRUE	106	ELECTRONIC LABEL	1	19/02/26
3245991694914	HENNESSY VERY SPECIAL COGNAC| 70CL	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5000289929417	GORDONS PINK GIN |70CL	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5099839732843	CENTRA STRAWBERRY | 325GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
53994356	KEELINGS FAMILY PK STRAWBERRIES[CT | 325GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5099839575112	CENTRA PEPPERS| 2PCE	TRUE	106	ELECTRONIC LABEL	1	19/02/26
3280220506972	FLORETTE BABY LEAF SALAD| 100GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5099839664151	CT SMOKED SALMON| 150GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5011069162269	DENNY PORK ONION & TOMATO | 90GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
5099120003034	KEARNS PORK SAUSAGES| 227GRM	TRUE	106	ELECTRONIC LABEL	1	19/02/26
